,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,Est. Payroll,Year,yearID,lgID,franchID,divID,Rank,G,Ghome,W,L,Covered,RoofType
122,BAL,1733019,21395,28.6,28.4,99,100,81612500,2010,2010,AL,BAL,E,5,162,81,66,96,False,Open
123,BOS,3046445,37610,30.9,29.6,106,105,164507333,2010,2010,AL,BOS,E,3,162,81,89,73,False,Open
124,CHC,3062973,37814,29.4,28.2,104,105,146609002,2010,2010,NL,CHC,C,5,162,81,75,87,False,Open
125,CHW,2194378,27091,30.7,29.0,103,103,107195000,2010,2010,AL,CHW,C,2,162,81,88,74,False,Open
126,CIN,2060550,25439,29.0,28.2,102,101,75321542,2010,2010,NL,CIN,C,1,162,81,91,71,False,Open
127,CLE,1391644,17181,27.2,26.6,94,95,61203966,2010,2010,AL,CLE,C,4,162,81,69,93,False,Open
128,COL,2875245,35497,28.8,28.1,115,115,90677000,2010,2010,NL,COL,W,3,162,81,83,79,False,Open
129,DET,2461237,30386,29.0,26.5,102,101,124039928,2010,2010,AL,DET,C,3,162,81,81,81,False,Open
130,FLA,1524894,18826,26.9,27.1,103,103,57454719,2010,2010,NL,FLA,E,3,162,81,80,82,True,Retractable
131,HOU,2331490,28784,29.5,29.6,97,98,93216000,2010,2010,NL,HOU,C,4,162,81,76,86,True,Retractable
132,KCR,1615327,19942,28.9,27.5,99,101,73105210,2010,2010,AL,KCR,C,5,162,81,67,95,False,Open
133,ANA,3250814,40134,29.7,28.3,96,96,104963866,2010,2010,AL,ANA,W,3,162,81,80,82,False,Open
134,LAD,3562320,43979,30.3,28.1,96,96,95358016,2010,2010,NL,LAD,W,4,162,81,80,82,False,Open
135,MIL,2776531,34278,27.8,29.2,100,100,81108278,2010,2010,NL,MIL,C,3,162,81,77,85,True,Retractable
136,MIN,3223640,39798,28.4,28.6,98,98,97559166,2010,2010,AL,MIN,C,1,162,81,94,68,False,Open
137,NYM,2559738,31602,28.4,29.5,97,97,134422942,2010,2010,NL,NYM,E,4,162,81,79,83,False,Open
138,NYY,3765807,46491,30.3,30.3,106,104,210733389,2010,2010,AL,NYY,E,2,162,81,95,67,False,Open
139,OAK,1418391,17511,27.8,26.0,99,99,57904900,2010,2010,AL,OAK,W,2,162,81,81,81,False,Open
140,PHI,3777322,44968,31.8,31.1,102,101,141928379,2010,2010,NL,PHI,E,1,162,84,97,65,False,Open
141,PIT,1613399,19919,26.5,28.6,98,100,37443000,2010,2010,NL,PIT,C,6,162,81,57,105,False,Open
142,SDP,2131774,26318,29.1,27.2,91,91,37799300,2010,2010,NL,SDP,W,2,162,81,90,72,False,Open
143,SEA,2085630,25749,29.6,27.1,93,95,86510000,2010,2010,AL,SEA,W,4,162,81,61,101,True,Retractable
144,SFG,3037443,37499,29.6,27.9,97,97,98641333,2010,2010,NL,SFG,W,1,162,81,92,70,False,Open
